Timestamp,BearNumber,FurColor,Angle,SizeBefore,SizeAfter,Year
11/14/2021 10:20,435,brown,5,Small,Very large,2020
11/14/2021 11:50,435,light Brown,2,Small,Large,2020
11/14/2021 13:15,435,light Brown,5,Medium,Large,2020
11/14/2021 18:27,435,dark brown,2,Small,Medium,2020
11/16/2021 14:02,435,light Brown,5,Small,Very large,2020
11/16/2021 14:27,435,dark brown,1,Large,Very large,2020
11/16/2021 16:24,435,blond,3,Small,Very large,2020
11/17/2021 9:12,435,brown,5,Large,Very large,2020
11/17/2021 10:29,435,blond,5,Medium,Very large,2020
11/18/2021 11:41,435,light Brown,4,Medium,Large,2020
11/12/2021 14:09,402,brown,7,Large,Very large,2020
11/12/2021 14:13,402,brown,9,Large,Large,2020
11/12/2021 22:11,402,dark brown,3,Medium,Large,2020
11/12/2021 22:52,402,dark brown,10,Medium,Very large,2020
11/13/2021 14:54,402,dark brown,6,Large,Very large,2020
11/14/2021 9:49,402,dark brown,6,Medium,Large,2020
11/14/2021 9:52,402,brown,5,Medium,Medium,2020
11/14/2021 10:20,402,dark brown,7,Medium,Small,2020
11/14/2021 11:50,402,dark brown,7,Medium,Large,2020
11/14/2021 13:15,402,brown,8,Large,Very large,2020
11/14/2021 18:27,402,dark brown,8,Medium,Medium,2020
11/16/2021 14:02,402,light Brown,5,Large,Very large,2020
11/16/2021 14:27,402,dark brown,8,Very large,Very large,2020
11/16/2021 16:24,402,dark brown,9,Medium,Large,2020
11/17/2021 9:12,402,brown,5,Large,Very large,2020
11/17/2021 10:29,402,dark brown,6,Large,Large,2020
11/18/2021 11:41,402,dark brown,8,Large,Large,2020
11/12/2021 14:09,151,dark brown,5,Small,Very large,2020
11/12/2021 14:13,151,brown,9,Medium,Large,2020
11/12/2021 22:11,151,,2,Medium,Large,2020
11/12/2021 22:52,151,brown,6,Small,Large,2020
11/13/2021 14:54,151,brown,6,Large,Very large,2020
11/14/2021 9:49,151,brown,7,Medium,Very large,2020
11/14/2021 9:52,151,brown,5,Medium,Large,2020
11/14/2021 10:20,151,dark brown,7,Small,Large,2020
11/14/2021 11:50,151,brown,4,Medium,Large,2020
11/14/2021 13:15,151,brown,6,Medium,Large,2020
11/14/2021 18:27,151,dark brown,9,Medium,Medium,2020
11/16/2021 14:02,151,brown,5,Medium,Very large,2020
11/16/2021 14:27,151,brown,8,Large,Very large,2020
11/16/2021 16:24,151,brown,9,Medium,Very large,2020
11/17/2021 9:12,151,brown,5,Large,Very large,2020
11/17/2021 10:29,151,dark brown,6,Large,Large,2020
11/18/2021 11:41,151,brown,7,Medium,Very large,2020
11/12/2021 14:09,128,light Brown,2,Small,Very large,2020
11/12/2021 14:13,128,light Brown,1,Medium,Very large,2020
11/12/2021 22:11,128,blond,2,Small,Large,2020
11/12/2021 22:52,128,blond,4,Small,Large,2020
11/13/2021 14:54,128,dark brown,4,Small,Very large,2020
11/14/2021 9:49,128,blond,4,Small,Very large,2020
11/14/2021 9:52,128,blond,3,Small,Large,2020
11/14/2021 10:20,128,blond,4,Small,Medium,2020
11/14/2021 11:50,128,light Brown,2,Medium,Large,2020
11/14/2021 13:15,128,light Brown,4,Small,Very large,2020
11/14/2021 18:27,128,brown,1,Small,Medium,2020
11/16/2021 14:02,128,brown,4,Small,Very large,2020
11/16/2021 14:27,128,brown,2,Medium,Very large,2020
11/16/2021 16:24,128,blond,3,Small,Very large,2020
11/17/2021 9:12,128,brown,5,Medium,Very large,2020
11/17/2021 10:29,128,light Brown,5,Small,Large,2020
11/18/2021 11:41,128,light Brown,3,Small,Large,2020
11/12/2021 14:09,32,dark brown,5,Medium,Very large,2020
11/12/2021 14:13,32,dark brown,6,Medium,Very large,2020
11/12/2021 22:11,32,dark brown,1,Small,Very large,2020
11/12/2021 22:52,32,dark brown,5,Medium,Very large,2020
